locus;presence;unique
NC_036024_1_CRD53_mgp26;23.076923076923077;True
NC_036024_1_CRD53_mgp19;15.384615384615385;True
NC_036024_1_CRD53_mgp34;92.3076923076923;True
NC_036024_1_CRD53_mgp27;23.076923076923077;True
NC_036024_1_CRD53_mgp33;30.76923076923077;True
NC_036024_1_CRD53_mgp30;100.0;False
NC_036024_1_CRD53_mgp23;38.46153846153847;True
NC_036024_1_CRD53_mgp36;100.0;True
NC_036024_1_CRD53_mgp16;100.0;False
NC_036024_1_CRD53_mgp08;30.76923076923077;True
NC_036024_1_CRD53_mgp15;23.076923076923077;True
NC_036024_1_CRD53_mgp14;38.46153846153847;True
NC_036024_1_CRD53_mgp01;30.76923076923077;False
NC_036024_1_CRD53_mgp25;92.3076923076923;False
NC_036024_1_CRD53_mgp22;23.076923076923077;True
NC_036024_1_CRD53_mgp03;84.61538461538461;False
NC_036024_1_CRD53_mgp31;23.076923076923077;False
NC_036024_1_CRD53_mgp20;30.76923076923077;True
NC_036024_1_CRD53_mgp18;100.0;False
NC_036024_1_CRD53_mgp13;23.076923076923077;True
NC_036024_1_CRD53_mgp24;23.076923076923077;True
