locus;presence;unique
AP018499.1_LLCC_1613;94.44444444444444;False
AP018499.1_LLCC_2377;72.22222222222221;False
AP018499.1_LLCC_0413;77.77777777777779;True
AP018499.1_LLCC_1308;16.666666666666664;True
AP018499.1_LLCC_1820;83.33333333333334;False
AP018499.1_LLCC_1363;66.66666666666666;False
AP018499.1_LLCC_0343;44.44444444444444;False
AP018499.1_LLCC_1294;27.77777777777778;False
AP018499.1_LLCC_2298;88.88888888888889;True
AP018499.1_LLCC_0594;5.555555555555555;True
AP018499.1_LLCC_0196;88.88888888888889;False
AP018499.1_LLCC_0488;66.66666666666666;True
AP018499.1_LLCC_0961;44.44444444444444;True
AP018499.1_LLCC_2608;5.555555555555555;True
AP018499.1_LLCC_2303;66.66666666666666;False
AP018499.1_LLCC_0466;5.555555555555555;True
AP018499.1_LLCC_0377;44.44444444444444;True
AP018499.1_LLCC_0395;77.77777777777779;True
AP018499.1_LLCC_0254;5.555555555555555;True
AP018499.1_LLCC_2485;38.88888888888889;False
AP018499.1_LLCC_0317;11.11111111111111;True
AP018499.1_LLCC_0865;22.22222222222222;False
AP018499.1_LLCC_1430;22.22222222222222;False
AP018499.1_LLCC_0689;5.555555555555555;True
AP018499.1_LLCC_2479;11.11111111111111;True
AP018499.1_LLCC_1011;5.555555555555555;True
AP018499.1_LLCC_1779;16.666666666666664;True
AP018499.1_LLCC_0143;27.77777777777778;False
AP018499.1_LLCC_1474;5.555555555555555;True
AP018499.1_LLCC_0574;72.22222222222221;False
AP018499.1_LLCC_0962;16.666666666666664;True
AP018499.1_LLCC_2188;50.0;True
AP018499.1_LLCC_1811;33.33333333333333;False
AP018499.1_LLCC_2504;16.666666666666664;True
AP018499.1_LLCC_0936;5.555555555555555;True
AP018499.1_LLCC_1003;16.666666666666664;False
AP018499.1_LLCC_1974;5.555555555555555;True
AP018499.1_LLCC_0487;72.22222222222221;True
AP018499.1_LLCC_1576;11.11111111111111;False
AP018499.1_LLCC_1196;5.555555555555555;True
AP018499.1_LLCC_0663;94.44444444444444;False
AP018499.1_LLCC_2492;11.11111111111111;True
AP018499.1_LLCC_1252;27.77777777777778;True
AP018499.1_LLCC_2046;27.77777777777778;True
AP018499.1_LLCC_2291;94.44444444444444;False
AP018499.1_LLCC_0548;22.22222222222222;True
AP018499.1_LLCC_1053;83.33333333333334;False
AP018499.1_LLCC_1464;83.33333333333334;False
AP018499.1_LLCC_0029;22.22222222222222;True
AP018499.1_LLCC_0818;100.0;False
AP018499.1_LLCC_1623;77.77777777777779;False
AP018499.1_LLCC_1087;72.22222222222221;False
AP018499.1_LLCC_1897;72.22222222222221;False
AP018499.1_LLCC_0378;94.44444444444444;False
AP018499.1_LLCC_1589;27.77777777777778;False
AP018499.1_LLCC_1817;66.66666666666666;False
AP018499.1_LLCC_0496;72.22222222222221;False
AP018499.1_LLCC_1134;5.555555555555555;True
AP018499.1_LLCC_2211;5.555555555555555;True
AP018499.1_LLCC_0002;77.77777777777779;True
AP018499.1_LLCC_2461;22.22222222222222;False
AP018499.1_LLCC_0638;5.555555555555555;True
AP018499.1_LLCC_1483;94.44444444444444;False
AP018499.1_LLCC_0642;11.11111111111111;True
AP018499.1_LLCC_1807;27.77777777777778;False
AP018499.1_LLCC_0414;77.77777777777779;False
AP018499.1_LLCC_1950;5.555555555555555;True
AP018499.1_LLCC_0274;16.666666666666664;True
AP018499.1_LLCC_2019;27.77777777777778;True
AP018499.1_LLCC_0911;94.44444444444444;False
AP018499.1_LLCC_1357;22.22222222222222;True
AP018499.1_LLCC_1669;5.555555555555555;True
AP018499.1_LLCC_0138;100.0;False
